ID;capacity
1;1735
2;1729
3;1757
4;1755
5;1739
6;1749
7;1763
8;1753
9;1727
10;1763
11;1754
12;1754
13;1763
14;1729
15;1750
16;1756
17;1729
18;1744
19;1742
20;1736
21;1750
22;1742
23;1737
24;1746
25;1764
26;1739
27;1723
28;1747
29;1745
30;1741
31;1755
32;1770
33;1765
34;1739
35;1732
36;1741
37;1748
38;1748
39;1748
40;1749
41;1749
42;1748
43;1751
44;1755
45;1754
46;1766
47;1751
48;1732
49;1743
50;1772
51;1740
52;1760
53;1756
54;1744
55;1729
56;1748
57;1727
58;1754
59;1765
60;1758
61;1749
62;1764
63;1751
64;1761
65;1762
66;1756
67;1732
68;1749
69;1758
70;1742
71;1750
72;1754
73;1755
74;1747
75;1752
76;1761
77;1730
78;1729
79;1745
80;1749
81;1752
82;1728
83;1754
84;1765
85;1724
86;1729
87;1767
88;1733
89;1748
90;1749
91;1746
92;1753
93;1767
94;1747
95;1757
